date,dish_name,restaurant_name,price,meal_type,description,image
2026-04-01 (Wednesday),Nasi Kandar,HTC,RM ~~10.50~~ 10.00,(Lunch),"Scrammed class to come here after QR, as lasting until 2 is a little... edging me.

- Chicken: fresh enough
- Rice: 2.5 scoops or something like that
- Vege: 1 push or something like that
- Curry: 3 scoops of the bone based one

...10.50? 10? Just for that? Guy who took less rice, no vege, with an egg, costs cheaper than mine.

""fuck htc"" - Herrscher @ 30/03/2026 10:29. But then again, central campus location. Unless I go further.<br><ul><li>Chicken: fresh enough</li><li>Rice: 2.5 scoops or something like that</li><li>Vege: 1 push or something like that</li><li>Curry: 3 scoops of the bone based one</li></ul>","images/2026/April/2026, April, image 1.png"
2026-04-06 (Monday),Nasi Campur,Cita Rasa Delima,RM 9.00,(Lunch),"Right, so gymming while hungry wasn't the best idea, but eating too early is also a semi bad idea.

7-11 has some deals for 7.90, but they seem a little small. Also I have no idea which button to press.

- Ayam Masak Merah: +1 scoop of sauce
- Vege: 3 attempted scoops due to it being stick together; free root
- Rice: 1.5 scoops, not enough (1 scoop is quite big)

Wonder if I should try the shawarma again soon, then time it &amp; see how fast it takes for it to cook.

For wednesday purposes, unless I scram class to eat again.<br><ul><li>Ayam Masak Merah: +1 scoop of sauce</li><li>Vege: 3 attempted scoops due to it being stick together; free root</li><li>Rice: 1.5 scoops, not enough (1 scoop is quite big)</li></ul>","images/2026/April/2026, April, image 2.png"
2026-04-06 (Monday),Braised Beef Potato Noodles,Salam Noodles,RM 11.55,(Dinner),"Class ended earlier by like 40 minutes, I guess I can go to you, especially after double gym.

Parking was nice as there was a spot for me when I drove in, though going into the area is a different story (traffic light when).
They took 20 minutes to serve, to my table somehow. Buzzer didn't buzz.

- Hot chinese tea, then Hot Lemon tea. 1 cup each.
- Sauce is saucing.
- Bowl of soup. Tried to scoop the ones on top so it isn't that ""dense"".
- Added noodles around 12 minutes in.
- Left in around an hour.
- Cleaned the plate.

It would be best to try Getok Mantul as one of the ""mini buffets"", secured their QR in preparation.<br><ul><li>Hot chinese tea, then Hot Lemon tea. 1 cup each.</li><li>Sauce is saucing.</li><li>Bowl of soup. Tried to scoop the ones on top so it isn't that ""dense"".</li><li>Added noodles around 12 minutes in.</li><li>Left in around an hour.</li><li>Cleaned the plate.</li></ul>","images/2026/April/2026, April, image 3.png"
2026-04-07 (Tuesday),PwC Event,MDA Catering,Free,(Lunch),"Walked 6000 steps under blazing sun, not fun. Detour for free food? Sure.

Despite food was there at 12, we only can eat at like 1:30pm.

- Not fried rice (I think), not nasi lemak rice, coloured rice? Not briyani.
- Pickled vegetables (Cucumber, onion, carrot)
- Chicken wing, masak merah
- Some sweet stuff (ran out after 2nd refill)

All in all, never walk again. Just take the bus even if its paid.

Or, just walk in Lakefront. Not under the scorching sun.<br><ul><li>Not fried rice (I think), not nasi lemak rice, coloured rice? Not briyani.</li><li>Pickled vegetables (Cucumber, onion, carrot)</li><li>Chicken wing, masak merah</li><li>Some sweet stuff (ran out after 2nd refill)</li></ul>","images/2026/April/2026, April, image 4.png"
2026-04-07 (Tuesday),Nasi Goreng Biasa,Sky Malaysia,RM 7.00,(Dinner),"No idea where my bois went, unsure if they were in AS, so avoided it.

- Cabbage that vege, fried shallots, green onions, carrot slices
- ...wait there's no cucumber.
- There's some garlic in it now, compared to my 18 Nov 2025 taste test.

As I checked the app, turns out Odin came as well... to fetch them out I presume.

Oh well, I'll keep that in note.<br><ul><li>Cabbage that vege, fried shallots, green onions, carrot slices</li><li>...wait there's no cucumber.</li><li>There's some garlic in it now, compared to my 18 Nov 2025 taste test.</li></ul>","images/2026/April/2026, April, image 5.png"
2026-04-08 (Wednesday),Nasi Kandar,HTC,RM 9.50,(Lunch),"Class ended slightly earlier, decided to gamble.

Asked for price breakdown as well as it was slightly cheaper today.

- Chicken: Fresh breast part, RM 5
- Vege: 1 pushful or something, RM 1.5
- Rice: 2 scoops, RM 3
- Curry

Around 22 minutes to finish. Still came in before the lecturer.

Maybe I could gamble takeaway shawarma if this timeframe happens again.<br><ul><li>Chicken: Fresh breast part, RM 5</li><li>Vege: 1 pushful or something, RM 1.5</li><li>Rice: 2 scoops, RM 3</li><li>Curry</li></ul>","images/2026/April/2026, April, image 6.png"
2026-04-08 (Wednesday),Roti Kahwin,AS Nasi Kandar,RM ~~4.50~~ 4.00,(Dinner),"Bois with another went to Sky, so I went the back alley.

They changed layouts, and Uncle is no where to be seen.

Asked for sambal, nada. Asked for additional dhal &amp; curry as I was about to finish, they filled it.

4.5? Went down to 4 as I only prepared 4. Asked the reason of why 4.5 despite the menu clearly being 1.5 + 2.5.

""Maybe there's planta in there?""..huh? Woman you make no sense, but if that's the case I'll order them separately.","images/2026/April/2026, April, image 7.png"
2026-04-09 (Thursday),Nasi Ayam Penyet,Sky Malaysia,RM 9.00,(Lunch),"Slight ""reward"" for survivng the week thus far. Skipping AS as I had HTC yesterday noon.

- 6 half cucumber slices for a total of 3 heart shaped cucumber slices
- Asked where soup, he said ""later"". Hence why not in pics
- Soup came later, in bungkus form, said kitchen mistaken. Asked for a bowl.
- Gave me a comically large bowl (instead of the usual mini soup bowl)
- Soup tastes slightly different than usual, or have I not had soup for so long?

Their pricing is weird. At times 9, at times 10. At times soup, at times no soup.

At times plenty of vege, at times a single type of vege.<br><ul><li>6 half cucumber slices for a total of 3 heart shaped cucumber slices</li><li>Asked where soup, he said ""later"". Hence why not in pics</li><li>Soup came later, in bungkus form, said kitchen mistaken. Asked for a bowl.</li><li>Gave me a comically large bowl (instead of the usual mini soup bowl)</li><li>Soup tastes slightly different than usual, or have I not had soup for so long?</li></ul>","images/2026/April/2026, April, image 8.png"
2026-04-09 (Thursday),Bakso,Dapur Chilli,RM 10.00,(Dinner),"Bakso is served. Though I am treated kinda invisible, with the customer behind me getting served first.

Downsides of being kinda transparent with low presense.

- Kuey Teow. It kinda sticks with each other, making it hard to eat, especially when it's hot.
- No chicken skin, unsure why it's there
- 4 beef balls
- Vegetables
- Some beansprouts
- Green onions &amp; fried shallots
- There's some sort of sambal. Didn't try much as it isn't my taste.
- Quarter of a lime. Bought it back to make lime water.

Almost finished the soup, then played around to see if any remains rise up.<br><ul><li>Kuey Teow. It kinda sticks with each other, making it hard to eat, especially when it's hot.</li><li>No chicken skin, unsure why it's there</li><li>4 beef balls</li><li>Vegetables</li><li>Some beansprouts</li><li>Green onions &amp; fried shallots</li><li>There's some sort of sambal. Didn't try much as it isn't my taste.</li><li>Quarter of a lime. Bought it back to make lime water.</li></ul>","images/2026/April/2026, April, image 9.png"
2026-04-13 (Monday),Set Buttermilk Chicken,Mira Kitchen,RM 9.00,(Lunch),"No idea what to eat, time to try something new.

Their QR is displayed as Mira Kitchen, not Amzira Shak Enterprise now (changed the previous 2 entries).

- 3 chicken tenders, room temperature maybe
- Rice isn't much. I can easily finish with 1.5 - 2 tenders, or 1 if I try hard enough.
- Sauce is ok, but it's easily finished within 2 tenders.
- 1 lettuce leaf, 2 slices of cucumbers
- The drink is the usual Teh o Ais.

I think it'd be more worth it if I ordered Set Nasi Ayam tambah nasi, if that exists.

Or otherwise, either Delima, or Starbee Tandoori for more rice, sauces, and vege.<br><ul><li>3 chicken tenders, room temperature maybe</li><li>Rice isn't much. I can easily finish with 1.5 - 2 tenders, or 1 if I try hard enough.</li><li>Sauce is ok, but it's easily finished within 2 tenders.</li><li>1 lettuce leaf, 2 slices of cucumbers</li><li>The drink is the usual Teh o Ais.</li></ul>","images/2026/April/2026, April, image 10.png"
